Name,Age,Position,MarketValue,Fee,Fee_Cleaned
Martín Zubimendi,26,Defensive Midfield,DM,€70.00m,70
Eberechi Eze,27,Attacking Midfield,AM,€69.30m,69.3
Viktor Gyökeres,27,Centre-Forward,CF,€66.90m,66.9
Noni Madueke,23,Right Winger,RW,€56.00m,56
Cristhian Mosquera,21,Centre-Back,CB,€15.00m,15
Christian Nørgaard,31,Defensive Midfield,DM,€11.60m,11.6
Kepa Arrizabalaga,30,Goalkeeper,GK,€5.80m,5.8
Piero Hincapié,23,Centre-Back,CB,loan transfer,0
Fábio Vieira,25,Attacking Midfield,AM,End of loan30/06/2025,End of loan30/06/2025
Albert Sambi Lokonga,25,Central Midfield,CM,End of loan30/06/2025,End of loan30/06/2025
Oleksandr Zinchenko,29,Left-Back,LB,End of loan31/01/2026,End of loan31/01/2026
Nuno Tavares,25,Left-Back,LB,End of loan30/06/2025,End of loan30/06/2025
Karl Hein,23,Goalkeeper,GK,End of loan30/06/2025,End of loan30/06/2025
Reiss Nelson,25,Left Winger,LW,End of loan30/06/2025,End of loan30/06/2025
Marquinhos,22,Right Winger,RW,End of loan30/06/2025,End of loan30/06/2025
Nuno Tavares,25,Left-Back,LB,€6.00m,6
Marquinhos,22,Right Winger,RW,€3.00m,3
Jakub Kiwior,25,Centre-Back,CB,Loan fee:€2.00m,Loan fee:2.00
Oleksandr Zinchenko,29,Left-Back,LB,€1.50m,1.5
Ethan Nwaneri,18,Attacking Midfield,AM,Loan fee:€1.50m,Loan fee:1.50
Albert Sambi Lokonga,25,Central Midfield,CM,€300k,300
Kieran Tierney,28,Left-Back,LB,free transfer,0
Jorginho,33,Defensive Midfield,DM,free transfer,0
Thomas Partey,32,Defensive Midfield,DM,free transfer,0
Reiss Nelson,25,Left Winger,LW,loan transfer,0
Karl Hein,23,Goalkeeper,GK,loan transfer,0
Oleksandr Zinchenko,28,Left-Back,LB,loan transfer,0
Fábio Vieira,25,Attacking Midfield,AM,loan transfer,0
Takehiro Tomiyasu,26,Right-Back,RB,-,-
Neto,35,Goalkeeper,GK,End of loan30/06/2025,End of loan30/06/2025
Raheem Sterling,30,Right Winger,RW,End of loan30/06/2025,End of loan30/06/2025
Evann Guessand,24,Right Winger,RW,€30.00m,30
Tammy Abraham,28,Centre-Forward,CF,€21.00m,21
Alysson,19,Right Winger,RW,€10.00m,10
